Topic,Count,Name,Representation,Representative_Docs
0,835,0_brian_thompson_was_of,"['brian', 'thompson', 'was', 'of', 'the', 'he', 'and', 'to', 'people', 'for']","['Brian Thompson was a murderer.', ""He's a murderer for sure, but so is Brian Thompson for denying healthcare, which people with families died. Brian Thompson should be in prison for murder."", 'I killed Brian Thompson.']"
1,739,1_unitedhealthcare_the_of_to,"['unitedhealthcare', 'the', 'of', 'to', 'insurance', 'and', 'for', 'health', 'in', 'is']","[""NEW: Castings of the bullets that killed CEO Brian Thompson were inscribed with the words “deny,” “defend,” and “depose.”\n\nThe words are similar to the title of a 2010 book Delay, Deny, Defend: Why Insurance Companies Don't Pay Claims and What You Can Do About It, by Jay M.…"", 'The lack of sympathy for this guys death, tells you everything you need to know about the state of health insurance in the US #UnitedHealthcare #Injustice_Must_Answer #denydefenddepose', 'In 2023, UnitedHealthcare reported $22 billion in profits. They also lead the field in claim denials. And they’re not alone.\n\nHealth insurance companies are in the business of denying our healthcare. They profit off the suffering of you and your loved ones. Prove me wrong!']"
2,675,2_unitedhealthcare_the_ceo_of,"['unitedhealthcare', 'the', 'ceo', 'of', 'to', 'and', 'in', 'for', 'is', 'that']","['Bernie Sanders on the public response to the murder of the UnitedHealthcare CEO: ""What you have seen rising up is people\'s anger at a health insurance industry which denies people the healthcare that they desperately need while they make billions and billions of dollars in…', 'not a CEO but I want unitedhealthcare shooter to do it 💖', ""I think if you see all the reactions to the killing of the UnitedHealthcare CEO and think there's something wrong with them, you are right. People's lives have been ruined by that healthcare company and the structure of the system it supports. It's a depraved system.""]"
3,622,3_mangione_the_luigi_healthcare,"['mangione', 'the', 'luigi', 'healthcare', 'to', 'of', 'is', 'had', 'it', 'and']","['Luigi Mangione, 26, arrested for the murder of UnitedHealthcare CEO Brian Thompson, allegedly wrote in a manifesto, “These parasites had it coming” and, “It had to be done.” Mangione is a UPenn graduate from a wealthy family.', '“I do apologize for any strife of traumas but it had to be done. Frankly, these parasites simply had it coming. The US has the #1 most expensive healthcare system in the world, yet we rank roughly #42 in life expectancy,” Mangione allegedly wrote.', '3. Luigi Mangione\'s manifesto included the quotes: \n“These parasites had it coming” and “I do apologize for any strife and trauma, but it had to be done""\n--Said shooter acted alone\n--""The document railed against the health care industry and suggested violence is the answer""']"
4,619,4_luigi_the_healthcare_to,"['luigi', 'the', 'healthcare', 'to', 'is', 'and', 'insurance', 'of', 'health', 'that']","['Luigi did what he did to bring attention to the corrupt healthcare system. And you all are still ignoring that fact!! Healthcare providers like United Healthcare have $$$Billions in assets because they deny services and raise healthcare premiums. You all are braindead like Biden!', 'well he is the ceo and decision maker for a healthcare company that literally denies people their healthcare that they pay for so yeah. \nLuigi may have killed that guy, but that guy was responsible for hundreds of thousands of deaths so fuck him. 🤷🏻\u200d♀️', 'I don’t agree with what Luigi did but I understand why. The healthcare system is so broken and rigged. If we spend trillions on healthcare, WHY THE FUCK can’t we afford it? The money doesn’t go to healthcare. It goes straight to the government and they send it to other fucking.']"
5,593,5_luigi_him_to_this,"['luigi', 'him', 'to', 'this', 'the', 'need', 'luigis', 'we', 'did', 'be']","['we got a Luigi for people like this?', 'we need to luigi him', 'This is for Luigi']"
6,572,6_luigi_ceo_the_and,"['luigi', 'ceo', 'the', 'and', 'that', 'to', 'is', 'of', 'ceos', 'for']","[""That CEO felt the need to decide who should live and who should not by denying health care, he only cared about their money, he killed a LOT of people, Luigi killed only one, the murderer of all those people, that's justice"", 'Yes people would be mad at Luigi if he murdered someone that’s innocent! But the thing is that the greedy CEO that got killed, was responsible for countless deaths after HIS company denied health insurance claims, just so they could shove more money into their pockets.', '. I’ll Luigi a CEO for you']"
7,564,7_brian_thompson_of_the,"['brian', 'thompson', 'of', 'the', 'ceo', 'to', 'united', 'in', 'healthcare', 'was']","[""From what I've read about Brian Thompson, CEO of United Healthcare and the fact that the buck stopped with him in the area of claim denial, and that he is possibly responsible for the deaths of more than 10k people who trusted they'd get the care they desperately needed - the way…"", 'Was the killing of United Healthcare CEO Brian Thompson justified? \n\n#LuigiMangione', 'United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…']"
8,549,8_luigi_the_and_is,"['luigi', 'the', 'and', 'is', 'of', 'to', 'he', 'for', 'people', 'that']","[""Rittenhouse killed and maimed innocent people. That CEO probably had more blood on his hands than the most prolific of serial killers, and he killed people who paid for care they were wrongly denied. We need an army of Luigi's to take out the rich people bleeding us like leeches."", 'Being as honest as possible, the best way someone can support Luigi’s cause and make more progress for the working class is to do what he did. For legal reasons, I am not condoning this, but that is what will need to be done.', 'In the eyes of the oligarchy, he is a threat to the their power and greed. So they want everyone to see what they do to those who rail against it. But more Luigi’s are on their way. It’s only a matter of time.']"
9,501,9_mangione_luigi_this_is,"['mangione', 'luigi', 'this', 'is', 'hero', 'to', 'in', 'the', 'me', 'mangiones']","['And in this house, Luigi Mangione is a hero.', 'FREE LUIGI MANGIONE , HE IS A HERO', 'Luigi Mangione is the hero of the people.']"
10,461,10_brian_thompson_of_the,"['brian', 'thompson', 'of', 'the', 'to', 'and', 'was', 'he', 'people', 'for']","['The biggest problem is for-profit health insurance and claim deniers like Brian Thompson who are killing thousands every year. You care about Thompson but not about those he killed.', 'Do you believe that the CEO Brian Thompson killed people by denying them care. Is that not murder?', ""The CEO Brian Thompson had 'zero remorse' for taking the lives of hundreds of thousands of Americans who will not be with their 'loved ones' at Christmas because they were mass-murdered by Brian Thompson. So think about those countless thousands of families as well.""]"
11,427,11_mangione_luigi_the_is,"['mangione', 'luigi', 'the', 'is', 'he', 'to', 'hero', 'and', 'of', 'in']","['He murdered a CEO is what he did! He was a brave Italian assassin. And in this house Luigi Mangione is a hero—\nend of story', 'he killed a ceo is what he did, he was a brave italian killer and in this house luigi mangione is a hero, end of story', 'He took on the corrupt healthcare system is what he did, and in this house Luigi Mangione is an Italian American hero, end of story!']"
12,344,12_luigi_hero_free_is,"['luigi', 'hero', 'free', 'is', 'the', 'to', 'you', 'and', 'be', 'of']","['$hero $luigi', 'This guy is a hero free Luigi', 'Luigi, the hero of the people.']"
